FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H0AL02087,1,0.67342455,2014
H0AL05163,0.803155915,0.744240969,2014
H0AL07086,0.839085607,0.983723206,2014
H0AR01083,1,0.632536075,2014
H0AR03055 ,1,0.794144604,2014
H0AS00018,,0.308120242,2014
H0AZ01259 ,1,0.699627238,2014
H0AZ01325 ,0.358450664,0.473886362,2014
H0AZ04501,,0.048251304,2014
H0CA03078,0.467209424,0.503962699,2014
H0CA08069,0.119164868,0.167462447,2014
H0CA10073,0.588006077,0.672739348,2014
H0CA10149,0.534783629,0.527246107,2014
H0CA11337,0.263362175,0.476296162,2014
H0CA15148,0.481824008,0.517536159,2014
H0CA17185,0.261811583,0.248220413,2014
H0CA19173,0.589449419,0.561489201,2014
H0CA27085,0.744847239,0.764950442,2014
H0CA27101,0.200687471,0.343600009,2014
H0CA32101,0.603675136,0.59357266,2014
H0CA33117,0.796026468,0.842813354,2014
H0CA34099,0.336407087,0.388241965,2014
H0CA48024,0.618749111,0.601690552,2014
H0CA49055,0.562555507,0.588365621,2014
H0CT03072,,0.669170569,2014
H0CT04146,,0.462384306,2014
H0CT05127,,0.009235775,2014
H0CT05150,,0.458352282,2014
H0DC00058 ,0.970500228,0.837282496,2014
H0DE01017,1,0.592577401,2014
H0DE01025,1,0.367615503,2014
H0FL02110 ,1,0.493482264,2014
H0FL02136,1,0.027023305,2014
H0FL04033,,5.7205E-05,2014
H0FL04066 ,0.709406577,0.782770745,2014
H0FL04116 ,,0.060241229,2014
H0FL05139 ,1,0.66658832,2014
H0FL08208 ,1,0.615408429,2014
H0FL12101,1,0.602812971,2014
H0FL17068 ,0.804282733,0.861751091,2014
H0FL18025,1,1,2014
H0FL19080,0.916138541,0.996265506,2014
H0GA07125,0.543204656,0.665222923,2014
H0GA07133,1,0.653870293,2014
H0GA08099,1,0.999085017,2014
H0GA09030,0.740673735,1,2014
H0HI01157,0.963992771,0.480716621,2014
H0ID01253 ,0.785647391,0.650083309,2014
H0IL05096,1,0.632347747,2014
H0IL09080,0.524004979,0.339114547,2014
H0IL10302 ,1,0.512975076,2014
H0IL11052 ,0.784368893,0.706212764,2014
H0IL14080 ,1,0.654137605,2014
H0IL17059 ,1,0.445347886,2014
H0IN02125 ,1,0.658969117,2014
H0IN02190 ,1,0.589414601,2014
